ID,rodata,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
7589,32.0,Internacional,Athletico-PR,Internacional,2,1
7590,32.0,Corinthians,Cuiaba,Corinthians,3,2
7591,32.0,Sao Paulo,Flamengo,Flamengo,0,4
7592,32.0,Fluminense,Palmeiras,Fluminense,2,1
7593,32.0,Ceara,Sport,Ceara,2,1
7594,32.0,Chapecoense,Juventude,Juventude,0,2
7596,33.0,Athletico-PR,Atletico-MG,Atletico-MG,0,1
7597,33.0,Gremio,Bragantino,Gremio,3,0
7598,33.0,America-MG,Atletico-GO,-,0,0
7599,33.0,Santos,Chapecoense,Santos,2,0
7600,33.0,Cuiaba,Internacional,Cuiaba,1,0
7601,33.0,Fortaleza,Ceara,Ceara,0,4
7602,33.0,Palmeiras,Sao Paulo,Sao Paulo,0,2
7603,33.0,Juventude,Fluminense,Juventude,1,0
7604,33.0,Flamengo,Corinthians,Flamengo,1,0
7605,33.0,Sport,Bahia,Sport,1,0
7547,34.0,Atletico-MG,Juventude,Atletico-MG,2,0
7549,34.0,Chapecoense,Gremio,Gremio,1,3
7548,34.0,Fortaleza,Palmeiras,Fortaleza,1,0
7550,34.0,Atletico-GO,Ceara,-,1,1
7551,34.0,Internacional,Flamengo,Flamengo,1,2
7552,34.0,Corinthians,Santos,Corinthians,2,0
7553,34.0,Fluminense,America-MG,Fluminense,2,0
7554,34.0,Bahia,Cuiaba,-,0,0
7285,2.0,Gremio,Flamengo,-,2,2
7585,30.0,Atletico-GO,Juventude,-,1,1
7606,35.0,Palmeiras,Atletico-MG,-,2,2
7555,34.0,Sao Paulo,Athletico-PR,-,0,0
7607,35.0,Fluminense,Internacional,Fluminense,1,0
7608,35.0,Santos,Fortaleza,Santos,2,0
7609,35.0,Ceara,Corinthians,Ceara,2,1
7616,36.0,Bahia,Gremio,Bahia,3,1
7617,36.0,Bragantino,America-MG,-,1,1
7618,36.0,Sao Paulo,Sport,Sao Paulo,2,0
7619,36.0,Corinthians,Athletico-PR,Corinthians,1,0
7620,36.0,Atletico-MG,Fluminense,Atletico-MG,2,1
7621,36.0,Internacional,Santos,-,1,1
7610,35.0,Atletico-GO,Bahia,Atletico-GO,2,1
7611,35.0,Juventude,Bragantino,Juventude,1,0
7612,35.0,America-MG,Chapecoense,America-MG,3,0
7622,36.0,Flamengo,Ceara,Flamengo,2,1
7623,36.0,Cuiaba,Palmeiras,Palmeiras,1,3
7595,32.0,Bahia,Atletico-MG,Atletico-MG,2,3
7613,35.0,Gremio,Sao Paulo,Gremio,3,0
7614,35.0,Athletico-PR,Cuiaba,Athletico-PR,1,0
7615,35.0,Sport,Flamengo,-,1,1
7624,36.0,Chapecoense,Atletico-GO,Atletico-GO,0,1
7625,36.0,Fortaleza,Juventude,Fortaleza,1,0
7626,37.0,Bahia,Fluminense,Bahia,2,0
7628,37.0,Atletico-MG,Bragantino,Atletico-MG,4,3
7627,37.0,Corinthians,Gremio,-,1,1
7629,37.0,Ceara,America-MG,-,0,0
7631,37.0,Athletico-PR,Palmeiras,-,0,0
7630,37.0,Sao Paulo,Juventude,Sao Paulo,3,1
7632,37.0,Cuiaba,Fortaleza,Cuiaba,1,0
7633,37.0,Internacional,Atletico-GO,Atletico-GO,1,2
7634,37.0,Flamengo,Santos,Santos,0,1
7635,37.0,Chapecoense,Sport,Sport,0,1
7642,38.0,Sport,Athletico-PR,-,1,1
7636,38.0,Fortaleza,Bahia,Fortaleza,2,1
7637,38.0,Atletico-GO,Flamengo,Atletico-GO,2,0
7638,38.0,Palmeiras,Ceara,Palmeiras,1,0
7639,38.0,Fluminense,Chapecoense,Fluminense,3,0
7640,38.0,America-MG,Sao Paulo,America-MG,2,0
7641,38.0,Bragantino,Internacional,Bragantino,1,0
7643,38.0,Juventude,Corinthians,Juventude,1,0
7644,38.0,Gremio,Atletico-MG,Gremio,4,3
7645,38.0,Santos,Cuiaba,-,1,1
7646,1.0,Fluminense,Santos,-,0,0
7647,1.0,Atletico-GO,Flamengo,-,1,1
7648,1.0,Palmeiras,Ceara,Ceara,2,3
7649,1.0,Coritiba,Goias,Coritiba,3,0
7650,1.0,Botafogo-RJ,Corinthians,Corinthians,1,3
7651,1.0,Atletico-MG,Internacional,Atletico-MG,2,0
7652,1.0,Fortaleza,Cuiaba,Cuiaba,0,1
7653,1.0,Avai,America-MG,Avai,1,0
7654,1.0,Sao Paulo,Athletico-PR,Sao Paulo,4,0
7655,1.0,Juventude,Bragantino,-,2,2
7656,2.0,Goias,Palmeiras,-,1,1
7658,2.0,Corinthians,Avai,Corinthians,3,0
7657,2.0,America-MG,Juventude,America-MG,4,1
7659,2.0,Cuiaba,Fluminense,Fluminense,0,1
7660,2.0,Santos,Coritiba,Santos,2,1
7661,2.0,Flamengo,Sao Paulo,Flamengo,3,1
7662,2.0,Athletico-PR,Atletico-MG,Atletico-MG,0,1
7663,2.0,Internacional,Fortaleza,Internacional,2,1
7664,2.0,Bragantino,Atletico-GO,Bragantino,4,0
7665,2.0,Ceara,Botafogo-RJ,Botafogo-RJ,1,3
7666,4.0,Flamengo,Palmeiras,-,0,0
7676,3.0,Bragantino,Sao Paulo,-,1,1
7677,3.0,Athletico-PR,Flamengo,Athletico-PR,1,0
7678,3.0,Palmeiras,Corinthians,Palmeiras,3,0
7679,3.0,Fluminense,Internacional,Internacional,0,1
7680,3.0,Atletico-MG,Coritiba,-,2,2
7681,3.0,Santos,America-MG,Santos,3,0
7682,3.0,Juventude,Cuiaba,Cuiaba,0,1
7683,3.0,Atletico-GO,Botafogo-RJ,-,1,1
7684,3.0,Avai,Goias,Avai,3,2
7668,4.0,America-MG,Athletico-PR,America-MG,1,0
7667,4.0,Ceara,Bragantino,Bragantino,0,1
7669,4.0,Goias,Atletico-MG,-,2,2
7670,4.0,Cuiaba,Atletico-GO,-,1,1
7671,4.0,Botafogo-RJ,Juventude,-,1,1
7672,4.0,Corinthians,Fortaleza,Corinthians,1,0
7673,4.0,Coritiba,Fluminense,Coritiba,3,2
7674,4.0,Internacional,Avai,-,0,0
7675,4.0,Sao Paulo,Santos,Sao Paulo,2,1
7686,5.0,Atletico-MG,America-MG,America-MG,1,2
7687,5.0,Athletico-PR,Ceara,Athletico-PR,1,0
7688,5.0,Flamengo,Botafogo-RJ,Botafogo-RJ,0,1
7689,5.0,Palmeiras,Fluminense,-,1,1
